tag,inital
403ARS0TIC011TI,0.9
403ARS0TIC011OPM,50
403ARS0TIC011OPL,0.0
403ARS0TIC011OPH,100.0
0PIC049OP,38.2769
0PIC049PV,10
0PIC049SP,68.9873
0PIC049TV,0.0
0PIC049CAS,0.0
0PIC049KC,2
0PIC049TI,0.5
0PIC049OPM,36.2783
0PIC049OPL,0.0
0PIC049OPH,100.0
403ARS0BV003,2
403ARS0EV017,1
0BPZIC013,2
403ARS0PDI001,0.0293005
403ARS0PDI008,0
403ARS0LI010,2.82751
403ARS0FI013,2052.95
403ARS0FI014,0
403ARS0LI019,11.4514
403ARS0LI018,14.1375
407ES0LI028,2
403ARS0LI009,0
403ARS0LI015,36.2501
407ES0LIC011OP,38.2769
407ES0LIC011PV,10
407ES0LIC011SP,68.9873
407ES0LIC011TV,0.0
407ES0LIC011CAS,0.0
407ES0LIC011KC,2
407ES0LIC011TI,0.5
407ES0LIC011OPM,36.2783
407ES0LIC011OPL,0.0
407ES0LIC011OPH,100.0
403ARS0BV010,2
403ARS0BPZIC005,2
403ARS0TI036,40.1809
403ARS0PDI041,0.200979
403ARS0TI003,59.6808
403ARS0TI034,40.8678
0LIC003OP,38.2769
0LIC003PV,10
0LIC003SP,68.9873
0LIC003TV,0.0
0LIC003CAS,0.0
0LIC003KC,2
0LIC003TI,0.5
0LIC003OPM,36.2783
0LIC003OPL,0.0
0LIC003OPH,100.0
403ARS0LI026,50.2046
407ES0LI027,50
0FI014B,2
0TIC040OP,38.2769
0TIC040PV,10
0TIC040SP,68.9873
0TIC040TV,0.0
0TIC040CAS,0.0
0TIC040KC,2
0TIC040TI,0.5
0TIC040OPM,36.2783
0TIC040OPL,0.0
0TIC040OPH,100.0
403ARS0BPZIC012,2
403ARS0BPZIC015,2
403ARS0PDI010,0.0015948
403ARS0LI022,90.0001
403ARS0PIC007OP,0
403ARS0PIC007PV,22.7872
403ARS0PIC007SP,24
403ARS0PIC007TV,0.0
403ARS0PIC007CAS,0.0
403ARS0PIC007KC,5
403ARS0PIC007TI,0.5
403ARS0PIC007OPM,0
403ARS0PIC007OPL,0.0
403ARS0PIC007OPH,100.0
407ES0EV002,1
407ES0EV035,1
407ES0EV044,1
407ES0EV026,1
407ES0HV001,1
407ES0EV006,1
407ES0EV036,1
407ES0PIC059OP,0
407ES0PIC059PV,36.787
407ES0PIC059SP,38.5
407ES0PIC059TV,0.0
407ES0PIC059CAS,0.0
407ES0PIC059KC,5
407ES0PIC059TI,0.5
407ES0PIC059OPM,-1
407ES0PIC059OPL,0.0
407ES0PIC059OPH,100.0
407ES0TIC014OP,50
407ES0TIC014PV,39.9709
407ES0TIC014SP,39.9707
407ES0TIC014TV,0.0
407ES0TIC014CAS,0.0
407ES0TIC014KC,3
407ES0TIC014TI,0.5
407ES0TIC014OPM,50
407ES0TIC014OPL,0.0
407ES0TIC014OPH,100.0
403ARS0LIC003OP,50
403ARS0LIC003PV,50.2043
403ARS0LIC003SP,50.2043
403ARS0LIC003TV,0.0
403ARS0LIC003CAS,0.0
403ARS0LIC003KC,2
403ARS0LIC003TI,999
403ARS0LIC003OPM,50
403ARS0LIC003OPL,0.0
403ARS0LIC003OPH,100.0
407ES0LIC003BOP,50
407ES0LIC003BPV,49.995
407ES0LIC003BSP,49.995
407ES0LIC003BTV,0.0
407ES0LIC003BCAS,0.0
407ES0LIC003BKC,2
407ES0LIC003BTI,30
407ES0LIC003BOPM,50
407ES0LIC003BOPL,0.0
407ES0LIC003BOPH,100.0
407ES0FIC016AOP,50
407ES0FIC016APV,49.995
407ES0FIC016ASP,49.995
407ES0FIC016ATV,0.0
407ES0FIC016ACAS,0.0
407ES0FIC016AKC,2
407ES0FIC016ATI,30
407ES0FIC016AOPM,50
407ES0FIC016AOPL,0.0
407ES0FIC016AOPH,100.0
407ES0FIC014AOP,50
407ES0FIC014APV,30.8218
407ES0FIC014ASP,30.8218
407ES0FIC014ATV,0.0
407ES0FIC014ACAS,0.0
407ES0FIC014AKC,2
407ES0FIC014ATI,1
407ES0FIC014AOPM,50
407ES0FIC014AOPL,0.0
407ES0FIC014AOPH,100.0
403ARS0FIC016AOP,50
403ARS0FIC016APV,10.2739
403ARS0FIC016ASP,10.2739
403ARS0FIC016ATV,0.0
403ARS0FIC016ACAS,0.0
403ARS0FIC016AKC,2
403ARS0FIC016ATI,1
403ARS0FIC016AOPM,50
403ARS0FIC016AOPL,0.0
403ARS0FIC016AOPH,100.0
407ES0LIC007OP,50
407ES0LIC007PV,63.9072
407ES0LIC007SP,63.9072
407ES0LIC007TV,0.0
407ES0LIC007CAS,0.0
407ES0LIC007KC,2
407ES0LIC007TI,999
407ES0LIC007OPM,50
407ES0LIC007OPL,0.0
407ES0LIC007OPH,100.0
0LIC029OP,38.2769
0LIC029PV,10
0LIC029SP,68.9873
0LIC029TV,0.0
0LIC029CAS,0.0
0LIC029KC,2
0LIC029TI,0.5
0LIC029OPM,36.2783
0LIC029OPL,0.0
0LIC029OPH,100.0
0LI029,62
0LI029TV,0
0LI029PV,100
0LI029SP,100
0LI029OP,100
407ES0EV038,1
407ES0P012AB,1
407ES0EV027,1
407ES0P011B,2
407ES0P011A,1
407ES0EV037,1
407ES0PIC060OP,50
407ES0PIC060PV,6.97663
407ES0PIC060SP,6.97675
407ES0PIC060TV,0.0
407ES0PIC060CAS,0.0
407ES0PIC060KC,4
407ES0PIC060TI,0.5
407ES0PIC060OPM,50
407ES0PIC060OPL,0.0
407ES0PIC060OPH,100.0
407ES0PIC063OP,0
407ES0PIC063PV,6.97663
407ES0PIC063SP,5
407ES0PIC063TV,0.0
407ES0PIC063CAS,0.0
407ES0PIC063KC,5
407ES0PIC063TI,0.5
407ES0PIC063OPM,0
407ES0PIC063OPL,0.0
407ES0PIC063OPH,100.0
0PIC007OP,38.2769
0PIC007PV,10
0PIC007SP,68.9873
0PIC007TV,0.0
0PIC007CAS,0.0
0PIC007KC,2
0PIC007TI,0.5
0PIC007OPM,36.2783
0PIC007OPL,0.0
0PIC007OPH,100.0
407ES0PIC001OP,50
407ES0PIC001PV,0.986708
407ES0PIC001SP,0.986708
407ES0PIC001TV,0.0
407ES0PIC001CAS,0.0
407ES0PIC001KC,5
407ES0PIC001TI,0.5
407ES0PIC001OPM,50
407ES0PIC001OPL,0.0
407ES0PIC001OPH,100.0
407ES0PIC181OP,50
407ES0PIC181PV,4.5
407ES0PIC181SP,4.5
407ES0PIC181TV,0.0
407ES0PIC181CAS,0.0
407ES0PIC181KC,5
407ES0PIC181TI,0.4
407ES0PIC181OPM,50
407ES0PIC181OPL,0.0
407ES0PIC181OPH,100.0
407ES0FIC015OP,50
407ES0FIC015PV,5023.52
407ES0FIC015SP,5023.52
407ES0FIC015TV,0.0
407ES0FIC015CAS,1.0
407ES0FIC015KC,2
407ES0FIC015TI,1
407ES0FIC015OPM,50
407ES0FIC015OPL,0.0
